A̱o,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022-01-01,3,Catamarca,70292.0,1.0,70293.0
2022-01-01,3,Mendoza,288746.0,777.0,289523.0
2022-01-01,3,San Juan,103118.0,281.0,103399.0
2022-01-01,2,Catamarca,67007.0,1.0,67008.0
2022-01-01,2,Mendoza,278785.0,777.0,279562.0
2022-01-01,2,San Juan,100126.0,281.0,100407.0
2022-01-01,1,Catamarca,62377.0,1.0,62378.0
2022-01-01,1,Mendoza,274399.0,786.0,275185.0
2022-01-01,1,San Juan,87888.0,290.0,88178.0
2021-01-01,4,Catamarca,59089.0,1.0,59090.0
2021-01-01,4,Mendoza,266783.0,804.0,267587.0
2021-01-01,4,San Juan,79667.0,291.0,79958.0
2021-01-01,3,Catamarca,56253.0,1.0,56254.0
2021-01-01,3,Mendoza,255320.0,619.0,255939.0
2021-01-01,3,San Juan,79227.0,256.0,79483.0
2021-01-01,2,Catamarca,55743.0,1.0,55744.0
2021-01-01,2,Mendoza,229052.0,619.0,229671.0
2021-01-01,2,San Juan,78677.0,256.0,78933.0
2021-01-01,1,Catamarca,51967.0,1.0,51968.0
2021-01-01,1,Mendoza,218308.0,615.0,218923.0
2021-01-01,1,San Juan,78011.0,256.0,78267.0
2020-01-01,4,Catamarca,52395.0,1.0,52396.0
2020-01-01,4,Mendoza,214838.0,615.0,215453.0
2020-01-01,4,San Juan,72340.0,256.0,72596.0
2020-01-01,3,Catamarca,49903.0,1.0,49904.0
2020-01-01,3,Mendoza,207173.0,615.0,207788.0
2020-01-01,3,San Juan,77071.0,256.0,77327.0
2020-01-01,2,Catamarca,47975.0,1.0,47976.0
2020-01-01,2,Mendoza,200569.0,615.0,201184.0
2020-01-01,2,San Juan,69521.0,256.0,69777.0
2020-01-01,1,Catamarca,39634.0,1.0,39635.0
2020-01-01,1,Mendoza,182837.0,615.0,183452.0
2020-01-01,1,San Juan,63975.0,256.0,64231.0
2019-01-01,4,Catamarca,38310.0,1.0,38311.0
2019-01-01,4,Mendoza,185157.0,623.0,185780.0
2019-01-01,4,San Juan,64715.0,259.0,64974.0
2019-01-01,3,Catamarca,32391.0,9.0,32400.0
2019-01-01,3,Mendoza,223015.0,1322.0,224337.0
2019-01-01,3,San Juan,72535.0,563.0,73098.0
2019-01-01,2,Catamarca,33626.0,9.0,33635.0
2019-01-01,2,Mendoza,222535.0,1322.0,223857.0
2019-01-01,2,San Juan,69461.0,564.0,70025.0
2019-01-01,1,Catamarca,33613.0,9.0,33622.0
2019-01-01,1,Mendoza,204976.0,1322.0,206298.0
2019-01-01,1,San Juan,61881.0,564.0,62445.0
2018-01-01,4,Catamarca,33574.0,9.0,33583.0
2018-01-01,4,Mendoza,204982.0,1322.0,206304.0
2018-01-01,4,San Juan,61834.0,564.0,62398.0
2018-01-01,3,Catamarca,34215.0,11.0,34226.0
2018-01-01,3,Mendoza,205545.0,1484.0,207029.0
2018-01-01,3,San Juan,63823.0,658.0,64481.0
2018-01-01,2,Catamarca,34078.0,11.0,34089.0
2018-01-01,2,Mendoza,199468.0,1484.0,200952.0
2018-01-01,2,San Juan,63443.0,658.0,64101.0
2018-01-01,1,Catamarca,33934.0,11.0,33945.0
2018-01-01,1,Mendoza,199463.0,1484.0,200947.0
2018-01-01,1,San Juan,62610.0,658.0,63268.0
2017-01-01,4,Catamarca,29548.0,10.0,29558.0
2017-01-01,4,Mendoza,178661.0,1490.0,180151.0
2017-01-01,4,San Juan,57965.0,659.0,58624.0
2017-01-01,3,Catamarca,33467.0,11.0,33478.0
2017-01-01,3,Mendoza,190958.0,1533.0,192491.0
2017-01-01,3,San Juan,61789.0,660.0,62449.0
2017-01-01,2,Catamarca,26692.0,13.0,26705.0
2017-01-01,2,Mendoza,169302.0,1451.0,170753.0
2017-01-01,2,San Juan,51261.0,620.0,51881.0
2017-01-01,1,Catamarca,26304.0,13.0,26317.0
2017-01-01,1,Mendoza,169282.0,1451.0,170733.0
2017-01-01,1,San Juan,51253.0,620.0,51873.0
2016-01-01,4,Catamarca,27021.0,13.0,27034.0
2016-01-01,4,Mendoza,169274.0,1451.0,170725.0
2016-01-01,4,San Juan,51301.0,620.0,51921.0
2016-01-01,3,Catamarca,26957.0,13.0,26970.0
2016-01-01,3,Mendoza,169174.0,1450.0,170624.0
2016-01-01,3,San Juan,51348.0,620.0,51968.0
2016-01-01,2,Catamarca,26543.0,13.0,26556.0
2016-01-01,2,Mendoza,169274.0,1550.0,170824.0
2016-01-01,2,San Juan,51392.0,621.0,52013.0
2016-01-01,1,Catamarca,26376.0,13.0,26389.0
2016-01-01,1,Mendoza,169257.0,1553.0,170810.0
2016-01-01,1,San Juan,51373.0,621.0,51994.0
2015-01-01,4,Catamarca,26459.0,13.0,26472.0
2015-01-01,4,Mendoza,169251.0,1556.0,170807.0
2015-01-01,4,San Juan,51408.0,621.0,52029.0
2015-01-01,3,Catamarca,26080.0,13.0,26093.0
2015-01-01,3,Mendoza,169261.0,1562.0,170823.0
2015-01-01,3,San Juan,51409.0,621.0,52030.0
2015-01-01,2,Catamarca,25666.0,13.0,25679.0
2015-01-01,2,Mendoza,169259.0,1564.0,170823.0
2015-01-01,2,San Juan,51367.0,621.0,51988.0
2015-01-01,1,Catamarca,25312.0,20.0,25332.0
2015-01-01,1,Mendoza,168355.0,1805.0,170160.0
2015-01-01,1,San Juan,51117.0,702.0,51819.0
2014-01-01,4,Catamarca,25472.0,21.0,25493.0
2014-01-01,4,Mendoza,167766.0,1848.0,169614.0
2014-01-01,4,San Juan,51390.0,729.0,52119.0
2014-01-01,3,Catamarca,24665.0,21.0,24686.0
2014-01-01,3,Mendoza,166184.0,1740.0,167924.0
2014-01-01,3,San Juan,51031.0,748.0,51779.0
2014-01-01,2,Catamarca,24660.0,23.0,24683.0
2014-01-01,2,Mendoza,165046.0,1761.0,166807.0
2014-01-01,2,San Juan,50891.0,755.0,51646.0
2014-01-01,1,Catamarca,24209.0,23.0,24232.0
2014-01-01,1,Mendoza,164084.0,1761.0,165845.0
2014-01-01,1,San Juan,50543.0,755.0,51298.0
