Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
MENDOZA,Guaymallén,SAN FRANCISCO DEL MONTE,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,San Jose,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Guaymallén,VILLA NUEVA,--,--,--,--,SI,SI,--,--,--
MENDOZA,Junín,ALTO VERDE,--,--,--,--,--,--,--,--,--
MENDOZA,Junín,Ingeniero Giagnoni,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Junín,Junín,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Junín,La Colonia,--,--,--,SI,SI,SI,--,SI,SI
MENDOZA,Junín,Los Barriales,SI,--,SI,--,SI,SI,SI,SI,--
MENDOZA,Junín,Medrano,--,--,--,--,--,--,--,SI,--
MENDOZA,Junín,Phillips,--,--,--,--,--,--,SI,SI,--
MENDOZA,Junín,Rodríguez Peña,--,--,--,--,SI,--,SI,SI,--
MENDOZA,La Paz,Desaguadero,--,--,--,--,SI,SI,SI,--,--
MENDOZA,La Paz,La Paz,SI,--,--,SI,SI,SI,SI,--,--
MENDOZA,La Paz,Villa Antigua,--,--,--,--,--,--,--,--,--
MENDOZA,Las Heras,Blanco Encalada,--,--,--,--,--,--,SI,--,--
MENDOZA,Las Heras,Capdeville,--,--,--,--,SI,--,--,--,--
MENDOZA,Las Heras,El Algarrobal,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,El Borbollon,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,EL CHALLAO,--,--,--,SI,--,--,--,--,--
MENDOZA,Las Heras,EL PLUMERILLO,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,EL RESGUARDO,--,--,--,SI,--,SI,--,--,--
MENDOZA,Las Heras,EL ZAPALLAR,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Las Heras,Jocolí,--,--,--,--,SI,SI,SI,--,--
MENDOZA,Las Heras,La Cieneguita,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,Las Cuevas,--,--,--,--,SI,SI,--,--,--
MENDOZA,Las Heras,Las Heras,SI,SI,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Las Heras,Los Penitentes,--,--,--,--,--,--,--,--,--
NEUQUEN,Ñorquín,Caviahué,--,--,SI,--,SI,--,SI,SI,SI
NEUQUEN,Ñorquín,Copahue,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Ñorquín,El Cholar,--,--,--,--,--,--,SI,SI,SI
NEUQUEN,Ñorquín,El Huecú,--,--,--,--,SI,--,SI,SI,SI
NEUQUEN,Ñorquín,Taquimilán,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Pehuenches,Barrancas,--,--,--,--,--,--,SI,SI,SI
NEUQUEN,Pehuenches,Buta Ranquil,--,--,--,--,SI,--,SI,--,SI
NEUQUEN,Pehuenches,Octavio Pico,--,--,--,--,--,--,--,--,--
NEUQUEN,Pehuenches,Rincón de los Sauces,SI,SI,SI,SI,SI,SI,SI,SI,SI
NEUQUEN,Picún Leufú,El Sauce,--,--,--,--,--,--,--,--,--
NEUQUEN,Picún Leufú,Paso Aguerre,--,--,--,--,--,--,SI,--,--
NEUQUEN,Picún Leufú,Picún Leufú,--,--,--,--,SI,--,SI,SI,SI
NEUQUEN,Picunches,Bajada del Agrio,--,--,--,--,SI,--,SI,--,--
NEUQUEN,Picunches,La Buitrera,--,--,--,--,--,--,--,--,SI
NEUQUEN,Picunches,Las Lajas,--,--,SI,--,SI,--,SI,--,SI
NEUQUEN,Picunches,Quili Malal,--,--,--,--,--,--,--,--,--
NEUQUEN,Zapala,Covunco Centro,--,--,--,--,SI,--,--,--,--
MENDOZA,Maipú,Fray Luis Beltrán,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Maipú,GENERAL GUTIERREZ,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Maipú,LUZURIAGA,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Maipú,Maipú,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Maipú,Rodeo del Medio,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Maipú,Russell,SI,--,SI,SI,SI,SI,SI,--,--
MENDOZA,Maipú,San Roque,SI,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,Maipú,Villa Teresa,--,--,--,--,--,--,--,SI,--
MENDOZA,Malargüe,Agua Escondida,--,--,--,--,SI,SI,--,--,SI
MENDOZA,Malargüe,Bardas Blancas,--,--,--,--,SI,--,SI,--,--
MENDOZA,Malargüe,Las Leñas,--,--,--,SI,SI,SI,SI,--,--
NEUQUEN,Zapala,Los Catutos,--,--,--,--,--,--,--,SI,--
NEUQUEN,Zapala,Mariano Moreno,SI,--,SI,--,--,--,SI,SI,SI
NEUQUEN,Zapala,Ramon M. Castro,--,--,--,--,SI,--,--,--,--
NEUQUEN,Zapala,Zapala,SI,--,SI,SI,SI,SI,SI,SI,SI
MENDOZA,San Carlos,Barrio Carrasco,--,--,--,--,--,--,--,--,--
MENDOZA,San Carlos,Barrio El Cepillo,--,--,--,--,--,--,--,SI,--
MENDOZA,San Carlos,Chilecito,--,--,--,--,SI,SI,--,SI,--
MENDOZA,San Carlos,Eugenio Bustos,SI,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Carlos,La Consulta,SI,--,--,--,SI,SI,SI,SI,SI
MENDOZA,San Carlos,Pareditas,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,San Carlos,San Carlos,--,SI,--,--,SI,SI,--,SI,--
MENDOZA,San Martín,Alto Salvador,--,--,--,SI,--,--,--,SI,--
MENDOZA,San Martín,Alto Verde,--,--,--,SI,--,--,--,SI,--
MENDOZA,San Martín,Barrio Chivilcoy,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Emanuel,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio La Estación,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Los Charabones,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,--,--,--,--,--,SI,--,--,--
MENDOZA,San Martín,Chapanay,--,--,SI,SI,SI,SI,SI,SI,--
MENDOZA,San Martín,Chivilcoy,--,--,--,--,--,--,--,--,--
MENDOZA,San Martín,El Espino,--,--,--,--,--,--,--,SI,--
MENDOZA,San Martín,El Ramblón,--,--,--,--,--,--,--,SI,--
MENDOZA,San Martín,Montecaseros,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Martín,Nueva California,--,--,--,--,--,--,--,SI,--
MENDOZA,Tupungato,El Zampal,--,--,--,--,SI,--,--,--,--
MENDOZA,San Rafael,Villa Atuel Norte,--,--,--,--,SI,SI,SI,--,--
MENDOZA,Santa Rosa,Barrio 12 de Octubre,--,--,--,SI,SI,--,--,--,--
MENDOZA,Santa Rosa,Barrio María Auxiliadora,--,--,--,--,SI,SI,--,--,--
MENDOZA,Santa Rosa,Barrio Molina Cabrera,--,--,--,--,--,--,--,--,--
MENDOZA,Santa Rosa,La Dormida,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,Santa Rosa,Las Catitas,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Santa Rosa,Santa Rosa,--,--,--,SI,--,--,SI,SI,--
MENDOZA,Tunuyán,Barrio San Cayetano,--,--,--,--,--,--,--,--,--
MENDOZA,Tunuyán,Campo Los Andes,--,SI,--,--,--,--,--,--,--
MENDOZA,Tunuyán,Colonia Las Rosas,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Tunuyán,El Manzano,--,--,--,--,SI,SI,--,--,--
MENDOZA,Tunuyán,Los Sauces,--,SI,--,SI,SI,SI,SI,--,--
MENDOZA,Tunuyán,Tunuyán,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,Tunuyán,Vista Flores,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Tupungato,Barrio Belgrano Norte,--,--,--,--,--,--,--,--,--
MENDOZA,Tupungato,Cordón del Plata,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,Tupungato,El Peral,--,--,--,--,--,--,--,--,--
SAN JUAN,Angaco,Villa El Salvador - Villa Sefair,--,--,--,--,--,--,--,SI,--
SAN JUAN,Angaco,Villa Sefair (Talacasto),--,--,--,--,--,--,--,--,--
SAN JUAN,Zonda,Villa Tacu,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Las Violetas,--,--,--,--,--,--,--,--,--
MENDOZA,Lavalle,Villa Tulumaya,--,--,--,SI,SI,SI,--,SI,--
CATAMARCA,El Alto,Vilismán,--,--,--,--,SI,--,--,--,--
CATAMARCA,Fray Mamerto Esquiú,La Carrera,--,--,--,--,--,--,--,--,SI
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,--,--,--,--,--,--,--,SI,--
CATAMARCA,Fray Mamerto Esquiú,Collagasta,--,--,--,--,--,--,--,--,--
CATAMARCA,Fray Mamerto Esquiú,El Hueco,--,--,--,SI,--,SI,--,--,--
CATAMARCA,Fray Mamerto Esquiú,La Tercena,--,--,--,--,--,SI,--,SI,--
CATAMARCA,Fray Mamerto Esquiú,Pomancillo Este,--,--,--,--,--,--,SI,--,--
CATAMARCA,Fray Mamerto Esquiú,Pomancillo Oeste,--,--,--,--,--,--,--,--,--
CATAMARCA,Fray Mamerto Esquiú,San Antonio,--,--,--,SI,SI,SI,--,--,--
CATAMARCA,Paclín,La Viña,--,--,--,--,--,--,--,SI,--
CATAMARCA,Paclín,Las Lajas,--,--,--,--,--,--,--,--,SI
CATAMARCA,Paclín,Monte Potrero,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Tinogasta,Fiambalá,--,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Tinogasta,La Puntilla,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,La Ramadita,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Los Balverdis,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Medanitos,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Palo Blanco,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Pampa Blanca,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Punta del Agua,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Saujil,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Tatón,--,--,--,--,SI,--,--,--,--
CATAMARCA,Ambato,Chuchucaruana,--,--,--,--,--,--,--,--,--
CATAMARCA,Ambato,Colpes,--,--,--,--,--,--,--,--,--
CATAMARCA,Ambato,El Bolsón,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Ambato,El Rodeo,--,--,--,--,SI,--,SI,SI,SI
CATAMARCA,Ambato,Huaycama,--,--,--,--,--,--,--,--,--
CATAMARCA,Ambato,La Puerta,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Ambato,Las Chacritas,--,--,--,--,--,--,--,--,SI
CATAMARCA,Ambato,Las Juntas,--,--,--,--,SI,--,--,--,--
CATAMARCA,Ambato,Los Castillos,--,--,--,--,--,--,--,--,--
CATAMARCA,Ambato,Los Talas,--,--,--,--,--,--,--,SI,--
CATAMARCA,Ambato,Los Varela,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Ambato,Singuil,--,--,--,--,SI,--,--,--,--
CATAMARCA,Ancasti,Ancasti,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Ancasti,Anquincila,--,--,--,--,--,--,--,--,--
CATAMARCA,Ancasti,La Candelaria,--,--,--,--,--,--,--,--,--
CATAMARCA,Ancasti,La Majada,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Aconquija,--,--,--,--,SI,SI,--,--,SI
CATAMARCA,Andalgalá,Alto De Las Juntas,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Amanao,--,--,--,--,--,SI,--,--,--
CATAMARCA,Andalgalá,Andalgalá,SI,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Andalgalá,Buena Vista,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Chaquiago,--,--,--,SI,--,--,--,SI,SI
CATAMARCA,Andalgalá,Choya,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,El Alamito,--,--,--,--,--,--,--,SI,--
CATAMARCA,Andalgalá,El Lindero,--,--,--,--,--,--,SI,--,--
CATAMARCA,Andalgalá,El Potrero,--,--,--,SI,--,--,--,--,--
CATAMARCA,Andalgalá,La Aguada,--,--,--,SI,--,--,--,SI,--
CATAMARCA,Andalgalá,La Mesada,--,--,--,SI,--,--,--,--,--
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Antofagasta de la Sierra,Antofalla,--,--,--,--,--,--,--,--,--
CATAMARCA,Antofagasta de la Sierra,El Peñón,--,--,--,--,--,--,--,--,--
CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Barranca Larga,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Belén,--,--,--,--,SI,SI,SI,SI,SI
CATAMARCA,Belén,Cóndor Huasi,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Corral Quemado,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,El Durazno,--,--,--,--,--,--,--,--,SI
CATAMARCA,Belén,Farallón Negro,--,--,--,--,SI,--,SI,--,--
CATAMARCA,Belén,Hualfín,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Belén,Jacipunco,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,La Puntilla,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Las Juntas,--,--,--,--,--,--,--,SI,--
CATAMARCA,Belén,Londres,--,--,--,--,SI,--,SI,SI,SI
CATAMARCA,Belén,Los Nacimientos,--,--,--,--,SI,--,--,--,--
CATAMARCA,Belén,Puerta de Corral Quemado,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Puerta de San José,--,--,--,--,--,--,--,--,SI
CATAMARCA,Belén,Villa Vil,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Adolfo E. Carranza,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Balde de la Punta,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Capayán,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Capayán,Chumbicha,SI,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Capayán,Colonia del Valle,--,--,--,--,--,--,SI,--,SI
CATAMARCA,Capayán,Colonia Nueva Coneta,--,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Capayán,Concepción,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Coneta,--,--,--,SI,--,--,SI,--,SI
CATAMARCA,Capayán,El Bañado,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Huillapima,--,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Capayán,Los Angeles,--,--,--,--,--,--,--,SI,--
CATAMARCA,Capayán,Los Angeles Norte,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Los Angeles Sur,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,Miraflores,--,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Capayán,San Martín,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Capayán,San Pablo,--,--,--,--,--,--,--,--,--
CATAMARCA,Capayán,San Pedro,--,--,--,--,--,--,--,--,--
CATAMARCA,Capital,Barrio Bancario,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Capital,El Pantanillo,SI,SI,--,SI,SI,SI,SI,--,SI
CATAMARCA,Capital,San Fernando del Valle de Catamarca,SI,SI,SI,SI,SI,SI,SI,SI,SI
CATAMARCA,El Alto,El Alto,--,--,--,--,SI,SI,--,SI,SI
CATAMARCA,El Alto,Guayamba,--,--,--,--,--,--,--,--,--
CATAMARCA,El Alto,Infanzón,--,--,--,--,--,--,--,--,--
CATAMARCA,El Alto,Los Corrales,--,--,--,--,--,--,--,--,--
CATAMARCA,El Alto,Tapso,--,--,--,--,--,--,--,--,SI
CATAMARCA,Fray Mamerto Esquiú,San José,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,--,--,--,--,SI,--,--,--,SI
CATAMARCA,La Paz,Casa de Piedra,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Aybal,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Bañado,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Divisadero,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,El Quimilo,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Esquiú,--,--,--,--,SI,SI,--,--,--
CATAMARCA,La Paz,Icaño,--,--,--,--,SI,SI,SI,--,SI
CATAMARCA,La Paz,La Dorada,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,La Guardia,--,--,--,--,SI,--,--,--,--
CATAMARCA,La Paz,Las Esquinas,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Las Palmitas,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Quirós,--,--,--,--,SI,--,SI,SI,--
CATAMARCA,La Paz,Ramblones,--,--,--,--,--,--,--,--,--
CATAMARCA,La Paz,Recreo,SI,SI,--,SI,SI,SI,SI,SI,SI
CATAMARCA,La Paz,San Antonio,--,--,--,--,SI,SI,SI,SI,--
CATAMARCA,Paclín,Amadores,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,El Rosario,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Bajada,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Higuera,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,La Merced,SI,--,--,--,SI,--,SI,SI,SI
CATAMARCA,Tinogasta,Tinogasta,SI,--,--,SI,SI,--,SI,--,SI
CATAMARCA,Valle Viejo,El Bañado,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,El Portezuelo,--,--,--,--,--,SI,--,--,SI
CATAMARCA,Valle Viejo,Huaycama,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,Las Tejas,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Valle Viejo,Polcos,--,--,--,SI,--,--,--,--,--
CATAMARCA,Valle Viejo,Pozo Del Mistol,--,--,--,SI,--,--,--,--,--
CATAMARCA,Valle Viejo,San Isidro,--,--,--,SI,SI,SI,--,SI,--
CATAMARCA,Valle Viejo,Santa Cruz,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,Santa Rosa,--,--,--,SI,SI,SI,--,SI,--
CATAMARCA,Valle Viejo,Sumalao,--,--,--,SI,--,--,--,SI,--
CATAMARCA,Valle Viejo,Villa Dolores,--,--,--,SI,SI,--,--,SI,--
CATAMARCA,Paclín,Palo Labrado,--,--,--,--,--,--,--,--,--
CATAMARCA,Paclín,San Antonio,--,--,--,--,--,--,--,SI,SI
CATAMARCA,Paclín,Villa de Balcozna,--,--,--,--,SI,--,--,--,--
CATAMARCA,Pomán,Apoyaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Colana,--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Colpes,--,--,--,--,--,--,--,SI,--
CATAMARCA,Pomán,El Pajonal (Est. Pomán),--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Joyango,--,--,--,--,--,--,--,--,--
CATAMARCA,Pomán,Mutquin,--,--,--,--,--,--,--,--,SI
CATAMARCA,Pomán,Pomán,--,--,--,--,SI,SI,SI,--,SI
CATAMARCA,Pomán,Rincón,--,--,--,--,SI,--,SI,--,--
CATAMARCA,Pomán,San Miguel,--,--,--,--,--,--,--,SI,--
CATAMARCA,Pomán,Saujil,--,--,--,--,SI,--,SI,SI,SI
CATAMARCA,Pomán,Siján,--,--,--,--,--,--,SI,--,SI
CATAMARCA,Santa María,Andalhualá,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Caspichango,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Chañar Punco,--,--,--,--,SI,--,--,--,--
CATAMARCA,Santa María,El Cajón,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,El Cerrito,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Santa María,El Desmonte,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,El Puesto,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Famatanca,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Fuerte Quemado,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,La Hoyada,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,La Loma,--,--,--,--,--,--,--,--,SI
CATAMARCA,Santa María,La Puntilla,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Lampacito,--,--,--,--,SI,--,--,--,--
CATAMARCA,Santa María,Las Mojarras,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Loro Huasi,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Medanitos,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Palo Seco,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Punta de Balasto,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,San José,--,--,--,--,--,--,--,--,SI
CATAMARCA,Santa María,San Jose Banda,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,San Jose Norte,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa María,Santa María,--,--,--,--,--,--,--,--,SI
CATAMARCA,Santa María,Yapes,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,Alijilán,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Santa Rosa,Bañado de Ovanta,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Santa Rosa,Las Cañas,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,Lavalle,--,--,--,--,--,--,--,--,SI
CATAMARCA,Santa Rosa,Los Altos,--,--,--,--,SI,SI,SI,SI,SI
CATAMARCA,Santa Rosa,Manantiales,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,San Pedro,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Anillaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Antinaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Banda de Lucero,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Cerro Negro,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Copacabana,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Cordobita,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Costa de Reyes,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,El Pueblito,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,El Puesto,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,El Salado,--,--,--,--,--,--,--,--,--
MENDOZA,Capital,Mendoza,SI,SI,SI,SI,SI,SI,SI,SI,SI
