A̱o,Trimestre,Provincia,Accesos por cada 100 hogares
2022,3,Catamarca,6533.0
2022,3,Mendoza,5103.0
2022,3,San Juan,508.0
2022,2,Catamarca,624.0
2022,2,Mendoza,4939.0
2022,2,San Juan,4946.0
2022,1,Catamarca,5821.0
2022,1,Mendoza,4874.0
2022,1,San Juan,4355.0
2021,4,Catamarca,5525.0
2021,4,Mendoza,4751.0
2021,4,San Juan,3959.0
2021,3,Catamarca,5271.0
2021,3,Mendoza,4555.0
2021,3,San Juan,3946.0
2021,2,Catamarca,5234.0
2021,2,Mendoza,4097.0
2021,2,San Juan,3928.0
2021,1,Catamarca,489.0
2021,1,Mendoza,3915.0
2021,1,San Juan,3906.0
2020,4,Catamarca,4941.0
2020,4,Mendoza,3863.0
2020,4,San Juan,3632.0
2020,3,Catamarca,4716.0
2020,3,Mendoza,3735.0
2020,3,San Juan,3879.0
2020,2,Catamarca,4543.0
2020,2,Mendoza,3625.0
2020,2,San Juan,3509.0
2020,1,Catamarca,3762.0
2020,1,Mendoza,3314.0
2020,1,San Juan,3239.0
2019,4,Catamarca,3644.0
2019,4,Mendoza,3365.0
2019,4,San Juan,3285.0
2019,3,Catamarca,3088.0
2019,3,Mendoza,4074.0
2019,3,San Juan,3706.0
2019,2,Catamarca,3213.0
2019,2,Mendoza,4075.0
2019,2,San Juan,356.0
2019,1,Catamarca,3219.0
2019,1,Mendoza,3766.0
2019,1,San Juan,3183.0
2018,4,Catamarca,3223.0
2018,4,Mendoza,3776.0
2018,4,San Juan,319.0
2018,3,Catamarca,3292.0
2018,3,Mendoza,3799.0
2018,3,San Juan,3305.0
2018,2,Catamarca,3286.0
2018,2,Mendoza,3697.0
2018,2,San Juan,3295.0
2018,1,Catamarca,3279.0
2018,1,Mendoza,3707.0
2018,1,San Juan,3261.0
2017,4,Catamarca,2862.0
2017,4,Mendoza,3333.0
2017,4,San Juan,303.0
2017,3,Catamarca,3249.0
2017,3,Mendoza,357.0
2017,3,San Juan,3237.0
2017,2,Catamarca,2598.0
2017,2,Mendoza,3176.0
2017,2,San Juan,2696.0
2017,1,Catamarca,2566.0
2017,1,Mendoza,3184.0
2017,1,San Juan,2704.0
2016,4,Catamarca,2654.0
2016,4,Mendoza,3211.0
2016,4,San Juan,2729.0
2016,3,Catamarca,2648.0
2016,3,Mendoza,3209.0
2016,3,San Juan,2732.0
2016,2,Catamarca,2607.0
2016,2,Mendoza,3213.0
2016,2,San Juan,2734.0
2016,1,Catamarca,2591.0
2016,1,Mendoza,3212.0
2016,1,San Juan,2733.0
2015,4,Catamarca,2624.0
2015,4,Mendoza,3249.0
2015,4,San Juan,2766.0
2015,3,Catamarca,2586.0
2015,3,Mendoza,3249.0
2015,3,San Juan,2767.0
2015,2,Catamarca,2545.0
2015,2,Mendoza,3249.0
2015,2,San Juan,2764.0
2015,1,Catamarca,2511.0
2015,1,Mendoza,3237.0
2015,1,San Juan,2755.0
2014,4,Catamarca,2551.0
2014,4,Mendoza,3264.0
2014,4,San Juan,2804.0
2014,3,Catamarca,2471.0
2014,3,Mendoza,3231.0
2014,3,San Juan,2785.0
2014,2,Catamarca,247.0
2014,2,Mendoza,321.0
2014,2,San Juan,2778.0
2014,1,Catamarca,2425.0
2014,1,Mendoza,3191.0
2014,1,San Juan,276.0
